motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.24,1.26889499999743,0,80,473.649301999998
0.06,1.15487700000813,0,80,291.826280000008
0.06,1.26907099998789,1,80,401.252199999988
0.12,1.22172200000023,0,80,641.529912
0.06,1.79516400001012,0,10,42.4771820000024
0.12,0.642363000000842,0,80,542.315118
0.12,1.40459000000556,0,10,648.973566000001
0.12,0.973296000011032,0,80,564.116110000003
0.12,2.06276500000058,1,80,245.406987
0.06,0.876546999999846,0,80,169.250932000001
0.06,1.76508500000091,0,20,386.806342
0.06,1.72958000000108,1,80,46.535022
0.12,0.942296000022907,0,20,230.830614000006
0.24,2.32271100000071,0,80,428.183118000001
0.06,1.403255000012,1,20,321.446633000014
0.12,2.12112999999954,1,80,140.514353999999
0.06,2.18930300002103,1,20,420.134503000008
0.06,2.03462900000159,1,20,41.3501350000006
0.12,0.967376000000513,0,10,59.7055000000018
0.06,2.38068100000964,0,80,316.092191000003
0.06,1.38559400000668,1,40,397.129842000009
0.06,2.00863800000116,0,80,172.778910000001
0.12,1.51349300000038,1,80,180.119037
0.06,1.07653600000776,1,80,569.580109999981
0.12,0.883184000005713,1,20,68.3906840000127
0.12,1.01808100001654,0,20,340.278473000013
0.12,1.68184900000051,0,80,313.779111000002
0.12,2.19168300000092,0,20,78.4746000000014
0.12,0.873274999999921,0,80,355.747094
0.12,0.920217000000775,0,10,99.3135050000019
0.06,1.19246900000144,1,10,388.189398999995
0.06,2.23983600000065,0,80,153.84295
0.06,2.04325500002597,1,10,53.1149110000115
0.06,0.92139600000155,1,80,450.737294999999
0.12,1.58185299999968,0,10,166.297592000001
0.06,1.87341400003061,1,20,433.694691000012
0.06,1.63387499999953,0,80,525.697197999998
0.12,0.940917000029003,1,10,404.466725000006
0.06,3.17732800000522,1,40,370.80984300001
0.06,1.67492700000003,1,40,522.833620000005
0.06,1.82562400000097,1,80,118.807031
0.12,1.31470699999954,0,20,486.45858
0.06,2.69546000000264,1,80,216.761061000001
0.06,0.737691000000268,1,20,459.474584000001
0.06,1.20456199999899,0,80,325.458293000003
0.06,1.3888200000074,1,40,34.9056870000059
0.06,1.46625700002187,1,80,13.5561410000082
0.06,1.77832200000012,1,80,575.995086000001
0.06,1.34743799999706,1,20,405.286666
0.06,1.70540500000061,1,20,410.730586000001
0.06,1.44242500000109,0,80,609.410008000001
0.06,1.03769500000635,1,80,544.604170000006
0.06,2.57351600000038,1,10,45.4414540000016
0.06,1.52780700000039,0,80,466.274003
0.06,1.38354299999992,0,80,660.873987999999
0.06,1.45481000000109,1,40,550.357276000001
